election_id,prefecture,party,votes_male,votes_female,votes_total,source_page
h26-12-14,埼玉県,無所属,100636,,100636,28
h26-12-14,埼玉県,__TOTAL__,2504211,461007,2965218,28
h26-12-14,千葉県,諸派,,,,28
h26-12-14,千葉県,無所属,24921,,24921,28
h26-12-14,千葉県,__TOTAL__,2326772,176895,2503667,28
h26-12-14,東京都,諸派,1416,4668,6084,28
h26-12-14,東京都,無所属,94163,15447.152,109610.152,28
h26-12-14,東京都,__TOTAL__,4735534.839,946182.152,5681716.991,28
h26-12-14,神奈川県,諸派,,,,28
h26-12-14,神奈川県,無所属,146907,27188,174095,28
h26-12-14,神奈川県,__TOTAL__,3531197,324620,3855817,28
h26-12-14,新潟県,諸派,,,,28
h26-12-14,新潟県,無所属,,,,28
h26-12-14,新潟県,__TOTAL__,699686,295518,995204,28
h26-12-14,富山県,諸派,,,,28
h26-12-14,富山県,無所属,,,,28
h26-12-14,富山県,__TOTAL__,407644,,407644,28
h26-12-14,石川県,諸派,,,,28
h26-12-14,石川県,無所属,5075,,5075,28
h26-12-14,石川県,__TOTAL__,374013,67316,441329,28
h26-12-14,福井県,諸派,,,,28
h26-12-14,福井県,無所属,,,,28
h26-12-14,福井県,__TOTAL__,182861,132416,315277,28
h26-12-14,山梨県,諸派,,,,28
h26-12-14,山梨県,無所属,85117,,85117,28
h26-12-14,山梨県,__TOTAL__,201806,198260,400066,28
h26-12-14,長野県,諸派,,,,28
h26-12-14,長野県,無所属,,,,28
h26-12-14,長野県,__TOTAL__,915462,27947,943409,28
h26-12-14,岐阜県,諸派,,,,28
h26-12-14,岐阜県,無所属,,,,28
h26-12-14,岐阜県,__TOTAL__,712496,143483,855979,28
h26-12-14,静岡県,諸派,,,,28
h26-12-14,静岡県,無所属,15671,,15671,28
h26-12-14,静岡県,__TOTAL__,1513994,146204,1660198,28
h26-12-14,愛知県,諸派,18343,14416,32759,28
h26-12-14,愛知県,無所属,45702,,45702,28
h26-12-14,愛知県,__TOTAL__,2901797,204169,3105966,28
h26-12-14,三重県,諸派,,,,28
h26-12-14,三重県,無所属,,,,28
h26-12-14,三重県,__TOTAL__,792649,21785,814434,28
h26-12-14,滋賀県,諸派,,,,28
h26-12-14,滋賀県,無所属,,,,28
h26-12-14,滋賀県,__TOTAL__,530041,60756,590797,28
h26-12-14,京都府,諸派,,,,28
h26-12-14,京都府,無所属,18267,,18267,28
h26-12-14,京都府,__TOTAL__,946233,92008,1038241,28
h26-12-14,大阪府,諸派,,,,28
h26-12-14,大阪府,無所属,37477,,37477,28
h26-12-14,大阪府,__TOTAL__,2828637.995,603998,3432635.995,28
h26-12-14,兵庫県,諸派,,,,28
h26-12-14,兵庫県,無所属,120318,28161,148479,28
h26-12-14,兵庫県,__TOTAL__,1947047,266183,2213230,28
h26-12-14,奈良県,諸派,,,,28
h26-12-14,奈良県,無所属,,,,28
h26-12-14,奈良県,__TOTAL__,457106,155417,612523,28
h26-12-14,和歌山県,諸派,,,,28
h26-12-14,和歌山県,無所属,,,,28
h26-12-14,和歌山県,__TOTAL__,409602,,409602,28
h26-12-14,鳥取県,諸派,,,,28
h26-12-14,鳥取県,無所属,,,,28
h26-12-14,鳥取県,__TOTAL__,252139,,252139,28
h26-12-14,島根県,諸派,,,,28
